,Atr1,Atr2,Atr3,Atr4,Atr5,Atr6,Atr7,Atr8,Atr9,Atr10,Atr11,Atr12,Atr13,Atr14,Atr15,Atr16,Atr17,Atr18,Atr19,Atr20,Atr21,Atr22,Atr23,Atr24,Atr25,Atr26,Atr27,Atr28,Atr29,Atr30,Atr31,Atr32,Atr33,Atr34,Atr35,Atr36,Atr37,Atr38,Atr39,Atr40,Atr41,Atr42,Atr43,Atr44,Atr45,Atr46,Atr47,Atr48,Atr49,Atr50,Atr51,Atr52,Atr53,Atr54,Class
0,Averagely,Averagely,Always,Seldom,Never,Never,Never,Never,Never,Never,Seldom,Never,Seldom,Seldom,Never,Seldom,Never,Never,Never,Seldom,Never,Never,Never,Never,Never,Never,Never,Never,Never,Seldom,Seldom,Averagely,Seldom,Averagely,Never,Seldom,Averagely,Seldom,Frequently,Frequently,Averagely,Seldom,Seldom,Averagely,Frequently,Averagely,Seldom,Frequently,Frequently,Frequently,Averagely,Frequently,Averagely,Seldom,Divorced
1,Always,Always,Always,Always,Always,Never,Never,Always,Always,Always,Always,Frequently,Always,Never,Always,Always,Always,Always,Frequently,Averagely,Seldom,Seldom,Never,Averagely,Averagely,Seldom,Averagely,Never,Seldom,Seldom,Never,Always,Averagely,Frequently,Never,Averagely,Frequently,Always,Averagely,Always,Averagely,Averagely,Frequently,Always,Averagely,Averagely,Averagely,Frequently,Always,Always,Always,Always,Averagely,Averagely,Divorced
2,Averagely,Averagely,Averagely,Averagely,Seldom,Frequently,Averagely,Seldom,Seldom,Averagely,Frequently,Always,Averagely,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Averagely,Seldom,Never,Seldom,Averagely,Averagely,Averagely,Averagely,Averagely,Frequently,Averagely,Frequently,Frequently,Seldom,Seldom,Seldom,Seldom,Averagely,Seldom,Frequently,Frequently,Frequently,Frequently,Averagely,Frequently,Averagely,Frequently,Averagely,Frequently,Seldom,Seldom,Seldom,Averagely,Averagely,Averagely,Divorced
3,Frequently,Averagely,Frequently,Averagely,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Seldom,Seldom,Seldom,Seldom,Averagely,Seldom,Seldom,Seldom,Seldom,Frequently,Averagely,Frequently,Averagely,Averagely,Seldom,Seldom,Frequently,Frequently,Always,Always,Averagely,Averagely,Frequently,Averagely,Frequently,Averagely,Averagely,Frequently,Frequently,Frequently,Frequently,Averagely,Averagely,Averagely,Divorced
4,Averagely,Averagely,Seldom,Seldom,Seldom,Seldom,Never,Never,Never,Never,Never,Seldom,Never,Seldom,Seldom,Seldom,Seldom,Seldom,Averagely,Seldom,Seldom,Never,Never,Never,Never,Averagely,Seldom,Averagely,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Never,Never,Never,Never,Averagely,Seldom,Never,Averagely,Frequently,Never,Averagely,Averagely,Seldom,Averagely,Frequently,Averagely,Averagely,Averagely,Seldom,Never,Divorced
5,Never,Never,Seldom,Never,Never,Averagely,Never,Never,Never,Seldom,Never,Averagely,Seldom,Never,Averagely,Never,Averagely,Seldom,Never,Seldom,Never,Never,Never,Never,Averagely,Averagely,Never,Never,Never,Never,Always,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Averagely,Never,Averagely,Averagely,Seldom,Averagely,Frequently,Never,Averagely,Averagely,Seldom,Averagely,Seldom,Seldom,Seldom,Averagely,Never,Divorced
6,Frequently,Frequently,Frequently,Averagely,Seldom,Frequently,Always,Frequently,Averagely,Averagely,Averagely,Averagely,Averagely,Frequently,Averagely,Frequently,Frequently,Frequently,Frequently,Averagely,Frequently,Frequently,Frequently,Frequently,Averagely,Frequently,Frequently,Averagely,Averagely,Averagely,Seldom,Averagely,Averagely,Seldom,Seldom,Averagely,Frequently,Averagely,Averagely,Frequently,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Averagely,Frequently,Averagely,Frequently,Frequently,Averagely,Averagely,Averagely,Divorced
7,Averagely,Seldom,Averagely,Averagely,Averagely,Seldom,Never,Frequently,Frequently,Averagely,Always,Frequently,Averagely,Frequently,Always,Frequently,Averagely,Frequently,Averagely,Seldom,Averagely,Seldom,Seldom,Averagely,Frequently,Frequently,Averagely,Averagely,Averagely,Frequently,Seldom,Seldom,Never,Averagely,Averagely,Seldom,Always,Always,Always,Always,Always,Always,Frequently,Averagely,Never,Never,Seldom,Averagely,Averagely,Averagely,Seldom,Seldom,Seldom,Never,Divorced
8,Averagely,Averagely,Seldom,Never,Never,Always,Seldom,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Averagely,Averagely,Averagely,Frequently,Averagely,Frequently,Averagely,Frequently,Averagely,Frequently,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Averagely,Averagely,Averagely,Averagely,Averagely,Averagely,Averagely,Averagely,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Divorced
9,Seldom,Seldom,Seldom,Seldom,Seldom,Averagely,Never,Averagely,Averagely,Averagely,Frequently,Never,Never,Averagely,Seldom,Never,Seldom,Averagely,Seldom,Never,Never,Never,Never,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Never,Seldom,Never,Never,Seldom,Seldom,Averagely,Averagely,Seldom,Averagely,Frequently,Averagely,Averagely,Averagely,Never,Averagely,Averagely,Averagely,Averagely,Always,Frequently,Frequently,Divorced
10,Always,Always,Always,Frequently,Always,Never,Never,Always,Always,Frequently,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Divorced
11,Always,Always,Always,Frequently,Always,Never,Never,Always,Always,Frequently,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Divorced
12,Frequently,Always,Frequently,Always,Frequently,Never,Seldom,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Divorced
13,Frequently,Always,Frequently,Always,Frequently,Never,Seldom,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Divorced
14,Frequently,Always,Frequently,Always,Frequently,Never,Seldom,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Divorced
15,Always,Always,Frequently,Averagely,Always,Never,Never,Always,Frequently,Averagely,Always,Always,Always,Always,Frequently,Averagely,Always,Always,Always,Always,Frequently,Averagely,Always,Always,Always,Always,Frequently,Averagely,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Divorced
16,Always,Always,Frequently,Averagely,Always,Never,Never,Always,Frequently,Averagely,Always,Always,Always,Always,Frequently,Averagely,Always,Always,Always,Always,Frequently,Averagely,Always,Always,Always,Always,Frequently,Averagely,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Divorced
17,Always,Always,Always,Frequently,Always,Never,Never,Always,Always,Frequently,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Always,Frequently,Always,Frequently,Always,Divorced
18,Frequently,Frequently,Always,Always,Frequently,Seldom,Seldom,Frequently,Always,Always,Frequently,Frequently,Frequently,Frequently,Always,Always,Frequently,Frequently,Frequently,Frequently,Always,Always,Frequently,Frequently,Frequently,Frequently,Always,Always,Frequently,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Divorced
19,Always,Always,Always,Frequently,Always,Never,Never,Always,Always,Frequently,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Always,Frequently,Always,Frequently,Always,Divorced
20,Always,Frequently,Frequently,Frequently,Always,Seldom,Never,Frequently,Frequently,Frequently,Always,Frequently,Always,Frequently,Frequently,Frequently,Always,Frequently,Always,Frequently,Frequently,Frequently,Always,Frequently,Always,Frequently,Frequently,Frequently,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Divorced
21,Always,Frequently,Frequently,Frequently,Always,Seldom,Never,Frequently,Frequently,Frequently,Always,Frequently,Always,Frequently,Frequently,Frequently,Always,Frequently,Always,Frequently,Frequently,Frequently,Always,Frequently,Always,Frequently,Frequently,Frequently,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Divorced
22,Frequently,Always,Always,Always,Frequently,Never,Seldom,Always,Always,Always,Frequently,Always,Frequently,Always,Always,Always,Frequently,Always,Frequently,Always,Always,Always,Frequently,Always,Frequently,Always,Always,Always,Frequently,Always,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Frequently,Frequently,Always,Frequently,Always,Always,Frequently,Always,Frequently,Always,Divorced
23,Frequently,Frequently,Frequently,Always,Frequently,Seldom,Seldom,Frequently,Frequently,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Divorced
24,Always,Averagely,Frequently,Always,Always,Averagely,Never,Averagely,Frequently,Always,Always,Averagely,Always,Averagely,Frequently,Always,Always,Averagely,Always,Averagely,Frequently,Always,Always,Averagely,Always,Averagely,Frequently,Always,Always,Averagely,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Divorced
25,Frequently,Frequently,Frequently,Always,Frequently,Seldom,Seldom,Frequently,Frequently,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Divorced
26,Frequently,Frequently,Always,Frequently,Frequently,Seldom,Seldom,Frequently,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Divorced
27,Frequently,Frequently,Frequently,Always,Frequently,Seldom,Seldom,Frequently,Frequently,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Divorced
28,Frequently,Always,Frequently,Averagely,Frequently,Never,Seldom,Always,Frequently,Averagely,Frequently,Always,Frequently,Always,Frequently,Averagely,Frequently,Always,Frequently,Always,Frequently,Averagely,Frequently,Always,Frequently,Always,Frequently,Averagely,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Divorced
29,Always,Frequently,Frequently,Averagely,Always,Seldom,Never,Frequently,Frequently,Averagely,Always,Frequently,Always,Frequently,Frequently,Averagely,Always,Frequently,Always,Frequently,Frequently,Averagely,Always,Frequently,Always,Frequently,Frequently,Averagely,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Divorced
30,Frequently,Always,Frequently,Averagely,Frequently,Never,Seldom,Always,Frequently,Averagely,Frequently,Always,Frequently,Always,Frequently,Averagely,Frequently,Always,Frequently,Always,Frequently,Averagely,Frequently,Always,Frequently,Always,Frequently,Averagely,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Divorced
31,Always,Frequently,Always,Frequently,Always,Seldom,Never,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Always,Frequently,Always,Frequently,Always,Divorced
32,Always,Frequently,Frequently,Always,Always,Seldom,Never,Frequently,Frequently,Always,Always,Frequently,Always,Frequently,Frequently,Always,Always,Frequently,Always,Frequently,Frequently,Always,Always,Frequently,Always,Frequently,Frequently,Always,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Always,Frequently,Always,Frequently,Always,Divorced
33,Frequently,Always,Averagely,Frequently,Frequently,Never,Seldom,Always,Averagely,Frequently,Frequently,Always,Frequently,Always,Averagely,Frequently,Frequently,Always,Frequently,Always,Averagely,Frequently,Frequently,Always,Frequently,Always,Averagely,Frequently,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Divorced
34,Frequently,Always,Always,Frequently,Frequently,Never,Seldom,Always,Always,Frequently,Frequently,Always,Frequently,Always,Always,Frequently,Frequently,Always,Frequently,Always,Always,Frequently,Frequently,Always,Frequently,Always,Always,Frequently,Frequently,Always,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Always,Frequently,Always,Frequently,Always,Divorced
35,Frequently,Frequently,Frequently,Frequently,Frequently,Seldom,Seldom,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Divorced
36,Always,Frequently,Frequently,Frequently,Always,Seldom,Never,Frequently,Frequently,Frequently,Always,Frequently,Always,Frequently,Frequently,Frequently,Always,Frequently,Always,Frequently,Frequently,Frequently,Always,Frequently,Always,Frequently,Frequently,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Always,Frequently,Always,Always,Always,Always,Frequently,Always,Always,Frequently,Always,Always,Frequently,Frequently,Always,Always,Frequently,Divorced
37,Frequently,Frequently,Averagely,Frequently,Frequently,Seldom,Seldom,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Averagely,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,Frequently,Frequently,Frequently,Always,Always,Always,Always,Frequently,Frequently,Always,Always,Divorced
38,Frequently,Frequently,Averagely,Frequently,Frequently,Seldom,Seldom,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Averagely,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,Frequently,Frequently,Frequently,Always,Always,Always,Always,Frequently,Frequently,Always,Always,Divorced
39,Always,Frequently,Frequently,Frequently,Always,Seldom,Never,Frequently,Frequently,Frequently,Always,Frequently,Always,Frequently,Frequently,Frequently,Always,Frequently,Always,Frequently,Frequently,Frequently,Always,Frequently,Always,Frequently,Frequently,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Always,Frequently,Always,Frequently,Always,Divorced
40,Frequently,Averagely,Frequently,Always,Frequently,Averagely,Seldom,Averagely,Frequently,Always,Frequently,Averagely,Frequently,Averagely,Frequently,Always,Frequently,Averagely,Frequently,Averagely,Frequently,Always,Frequently,Averagely,Frequently,Averagely,Frequently,Always,Frequently,Averagely,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Divorced
41,Always,Averagely,Frequently,Averagely,Always,Averagely,Never,Averagely,Frequently,Averagely,Always,Averagely,Always,Averagely,Frequently,Averagely,Always,Averagely,Always,Averagely,Frequently,Averagely,Always,Averagely,Always,Averagely,Frequently,Averagely,Always,Averagely,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Divorced
42,Frequently,Always,Frequently,Frequently,Frequently,Never,Seldom,Always,Frequently,Frequently,Frequently,Always,Frequently,Always,Frequently,Frequently,Frequently,Always,Frequently,Always,Frequently,Frequently,Frequently,Always,Frequently,Always,Frequently,Frequently,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Frequently,Always,Frequently,Always,Frequently,Divorced
43,Frequently,Frequently,Frequently,Averagely,Frequently,Seldom,Seldom,Frequently,Frequently,Averagely,Frequently,Frequently,Frequently,Frequently,Frequently,Averagely,Frequently,Frequently,Frequently,Frequently,Frequently,Averagely,Frequently,Frequently,Frequently,Frequently,Frequently,Averagely,Frequently,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Divorced
44,Always,Averagely,Frequently,Averagely,Always,Averagely,Never,Averagely,Frequently,Averagely,Always,Averagely,Always,Averagely,Frequently,Averagely,Always,Averagely,Always,Averagely,Frequently,Averagely,Always,Averagely,Always,Averagely,Frequently,Averagely,Always,Averagely,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Divorced
45,Frequently,Frequently,Averagely,Frequently,Frequently,Seldom,Seldom,Frequently,Averagely,Frequently,Frequently,Frequently,Frequently,Frequently,Averagely,Frequently,Frequently,Frequently,Frequently,Frequently,Averagely,Frequently,Frequently,Frequently,Frequently,Frequently,Averagely,Frequently,Frequently,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Divorced
46,Frequently,Frequently,Frequently,Averagely,Frequently,Seldom,Seldom,Frequently,Frequently,Averagely,Frequently,Frequently,Frequently,Frequently,Frequently,Averagely,Frequently,Frequently,Frequently,Frequently,Frequently,Averagely,Frequently,Frequently,Frequently,Frequently,Frequently,Averagely,Frequently,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Divorced
47,Frequently,Frequently,Averagely,Frequently,Frequently,Seldom,Seldom,Frequently,Averagely,Frequently,Frequently,Frequently,Frequently,Frequently,Averagely,Frequently,Frequently,Frequently,Frequently,Frequently,Averagely,Frequently,Frequently,Frequently,Frequently,Frequently,Averagely,Frequently,Frequently,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Divorced
48,Always,Averagely,Frequently,Averagely,Always,Averagely,Never,Averagely,Frequently,Averagely,Always,Averagely,Always,Averagely,Frequently,Averagely,Always,Averagely,Always,Averagely,Frequently,Averagely,Always,Averagely,Always,Averagely,Frequently,Averagely,Always,Averagely,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Divorced
49,Frequently,Frequently,Frequently,Averagely,Frequently,Seldom,Seldom,Frequently,Frequently,Averagely,Frequently,Frequently,Frequently,Frequently,Frequently,Averagely,Frequently,Frequently,Frequently,Frequently,Frequently,Averagely,Frequently,Frequently,Frequently,Frequently,Frequently,Averagely,Frequently,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Divorced
50,Always,Averagely,Frequently,Averagely,Always,Averagely,Never,Averagely,Frequently,Averagely,Always,Averagely,Always,Averagely,Frequently,Averagely,Always,Averagely,Always,Averagely,Frequently,Averagely,Always,Averagely,Always,Averagely,Frequently,Averagely,Always,Averagely,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Divorced
